"","X.1","event.id","visible","timestamp","location.long","location.lat","algorithm.marked.outlier","external.temperature","gps.hdop","gps.satellite.count","gps.time.to.fix","gps.vdop","ground.speed","gt.activity.count","gt.sys.week","gt.tx.count","heading","height.above.ellipsoid","height.raw","import.marked.outlier","location.error.text","manually.marked.outlier","mw.activity.count","mw.show.in.kml","raptor.workshop.migration.state","tag.battery.voltage","tag.voltage","vertical.error.numerical","sensor.type","individual.taxon.canonical.name","tag.local.identifier","individual.local.identifier","study.name","study.timezone","study.local.timestamp","utm.easting","utm.northing","utm.zone","day","dT","X","Y","year","Season","mig.id","halfyr","ID_mig","days.cont","date","day.x","day.y","day.dist","mig.state","mig.start","mig.end"
"4871",4871,558298178,"true",2015-02-23 03:00:00,-91.14317,14.38883,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,"350",NA,"",NA,NA,NA,"",NA,NA,NA,"gps","Cathartes aura",136414,"Andres","Turkey Vulture Acopian Center USA GPS","Pacific Standard Time",2015-02-22 19:00:00,700209.704686281,1591536.05609635,"15N",53,1,2006857.2414293,1636666.8249321,2015,"Spring","Spring.2015","2015 B",4,284,"2015-02-23",2006857.2414293,1636666.8249321,66.0534347721668,"Mig","2014-10-25","2015-02-24"
"4872",4872,558298179,"true",2015-02-23 04:00:00,-91.143,14.389,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,"350",NA,"",NA,NA,NA,"",NA,NA,NA,"gps","Cathartes aura",136414,"Andres","Turkey Vulture Acopian Center USA GPS","Pacific Standard Time",2015-02-22 20:00:00,700227.888770796,1591555.01430225,"15N",53,7,2006874.86731163,1636687.27462902,2015,"Spring","Spring.2015","2015 B",4,284,"2015-02-23",2006857.2414293,1636666.8249321,66.0534347721668,"Mig","2014-10-25","2015-02-24"
"4873",4873,558298180,"true",2015-02-23 11:00:00,-91.143,14.38883,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,"360",NA,"",NA,NA,NA,"",NA,NA,NA,"gps","Cathartes aura",136414,"Andres","Turkey Vulture Acopian Center USA GPS","Pacific Standard Time",2015-02-23 03:00:00,700228.040327372,1591536.20381949,"15N",54,1,2006876.05060657,1636667.97834228,2015,"Spring","Spring.2015","2015 B",4,284,"2015-02-23",2006857.2414293,1636666.8249321,66.0534347721668,"Mig","2014-10-25","2015-02-24"
"4874",4874,558298181,"true",2015-02-23 12:00:00,-91.143,14.38883,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,"360",NA,"",NA,NA,NA,"",NA,NA,NA,"gps","Cathartes aura",136414,"Andres","Turkey Vulture Acopian Center USA GPS","Pacific Standard Time",2015-02-23 04:00:00,700228.040327372,1591536.20381949,"15N",54,1,2006876.05060657,1636667.97834228,2015,"Spring","Spring.2015","2015 B",4,284,"2015-02-23",2006857.2414293,1636666.8249321,66.0534347721668,"Mig","2014-10-25","2015-02-24"
"4875",4875,558928189,"true",2015-02-23 13:00:00,-91.14667,14.38667,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,"320",NA,"",NA,NA,NA,"",NA,NA,NA,"gps","Cathartes aura",136414,"Andres","Turkey Vulture Acopian Center USA GPS","Pacific Standard Time",2015-02-23 05:00:00,699834.128234458,1591294.0144255,"15N",54,1,2006485.02561051,1636397.9086089,2015,"Spring","Spring.2015","2015 B",4,284,"2015-02-23",2006857.2414293,1636666.8249321,66.0534347721668,"Mig","2014-10-25","2015-02-24"
"4876",4876,558928190,"true",2015-02-23 14:00:00,-91.14667,14.3865,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,"310",NA,"",NA,NA,NA,"",NA,NA,NA,"gps","Cathartes aura",136414,"Andres","Turkey Vulture Acopian Center USA GPS","Pacific Standard Time",2015-02-23 06:00:00,699834.279467019,1591275.20398048,"15N",54,1,2006486.20837659,1636378.61256981,2015,"Spring","Spring.2015","2015 B",4,284,"2015-02-23",2006857.2414293,1636666.8249321,66.0534347721668,"Mig","2014-10-25","2015-02-24"
"4877",4877,558928191,"true",2015-02-23 15:00:00,-91.14667,14.3865,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,"330",NA,"",NA,NA,NA,"",NA,NA,NA,"gps","Cathartes aura",136414,"Andres","Turkey Vulture Acopian Center USA GPS","Pacific Standard Time",2015-02-23 07:00:00,699834.279467019,1591275.20398048,"15N",54,1,2006486.20837659,1636378.61256981,2015,"Spring","Spring.2015","2015 B",4,284,"2015-02-23",2006857.2414293,1636666.8249321,66.0534347721668,"Mig","2014-10-25","2015-02-24"
"4878",4878,558312091,"true",2015-02-23 16:00:00,-91.1965,14.4115,NA,NA,NA,NA,NA,NA,8.74555555555556,NA,NA,NA,35,NA,"460",NA,"",NA,NA,NA,"",NA,NA,NA,"gps","Cathartes aura",136414,"Andres","Turkey Vulture Acopian Center USA GPS","Pacific Standard Time",2015-02-23 08:00:00,694438.139923488,1593998.75243138,"15N",54,1,2000800.03625502,1638878.44305947,2015,"Spring","Spring.2015","2015 B",4,284,"2015-02-23",2006857.2414293,1636666.8249321,66.0534347721668,"Mig","2014-10-25","2015-02-24"
"4879",4879,558312092,"true",2015-02-23 17:00:00,-91.476,14.5775,NA,NA,NA,NA,NA,NA,17.4911111111111,NA,NA,NA,285,NA,"750",NA,"",NA,NA,NA,"",NA,NA,NA,"gps","Cathartes aura",136414,"Andres","Turkey Vulture Acopian Center USA GPS","Pacific Standard Time",2015-02-23 09:00:00,664175.672946664,1612146.11995063,"15N",54,1,1968768.09499583,1655826.36938851,2015,"Spring","Spring.2015","2015 B",4,284,"2015-02-23",2006857.2414293,1636666.8249321,66.0534347721668,"Mig","2014-10-25","2015-02-24"
"4880",4880,558312093,"true",2015-02-23 18:00:00,-91.56583,14.618,NA,NA,NA,NA,NA,NA,13.3755555555556,NA,NA,NA,356,NA,"840",NA,"",NA,NA,NA,"",NA,NA,NA,"gps","Cathartes aura",136414,"Andres","Turkey Vulture Acopian Center USA GPS","Pacific Standard Time",2015-02-23 10:00:00,654468.467838928,1616563.7756122,"15N",54,1,1958575.96391925,1659817.4344582,2015,"Spring","Spring.2015","2015 B",4,284,"2015-02-23",2006857.2414293,1636666.8249321,66.0534347721668,"Mig","2014-10-25","2015-02-24"
